Team,MP,W,D,L,Goals,Pts,Forms
Manchester City,30,22,5,3,64:21,71,W W L W W
Manchester United,29,16,9,4,56:32,57,W W D D W
Leicester City,29,17,5,7,53:32,56,W W D L W
Chelsea,29,14,9,6,44:25,51,D W W D D
West Ham,29,14,7,8,45:35,49,D L W L W
Tottenham Hotspur,29,14,6,9,49:30,48,W L W W W
Liverpool,29,13,7,9,48:36,46,W L L W L
Everton,28,14,4,10,40:37,46,L L W W W
Arsenal,29,12,6,11,40:32,42,D W D W L
Aston Villa,28,12,5,11,39:30,41,L D D L W
Leeds United,29,12,3,14,45:47,39,W D L L W
Crystal Palace,29,10,7,12,31:47,37,W L D D W
Wolves,29,9,8,12,28:38,35,L D L D W
Southampton,29,9,6,14,36:51,33,L L W L L
Burnley,29,8,9,12,22:37,33,W D D L D
Brighton and Hove Albion,29,7,11,11,32:36,32,W W L L L
Newcastle United,29,7,7,15,28:48,28,L D D D L
Fulham,30,5,11,14,23:38,26,L L W L D
West Bromwich Albion,29,3,9,17,20:57,18,L D L W D
Sheffield United,29,4,2,23,16:50,14,L L W L L
